鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,21.82,住,,,1051009,土地2建物1車位2,十七層,22,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730,282.15999999999997,3,2,2,有,無,69120000,309380,坡道平面,76.2,5400000,"土地及建物分次登記案件。前案土地登記收件字號：;1.本案為預售,雨遮不計價2.二停車位未拆分單價",RPXOMLPLKIOFFEA88CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,17.37,住,,,1060107,土地2建物1車位1,十一層,22,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730,197.64999999999998,3,2,2,有,無,48500000,287684,坡道平面,38.1,2600000,"土地及建物分次登記案件。前案土地登記收件字號：;1.本案為預售,雨遮不計價",RPOPMLPLKIOFFEA08CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,21.82,住,,,1051010,土地2建物1車位2,十七層,22,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730,283.48,3,2,2,有,無,68880000,303358,坡道平面,76.2,6000000,"土地及建物分次登記案件。前案土地登記收件字號：;1.本案為預售,雨遮不計價2.二停車位未拆分單價",RPPPMLPLKIOFFEA18CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,18.44,住,,,1051010,土地2建物1車位2,十七層,22,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730,244.57,3,2,2,有,無,57700000,307062,坡道平面,76.2,6000000,"土地及建物分次登記案件。前案土地登記收件字號：;1.本案為預售,雨遮不計價2.二停車位未拆分單價",SPPPMLPLKIOFFEA28CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,18.44,住,,,1050810,土地2建物1車位2,十一層,22,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730,250.14,3,2,2,有,無,56180000,289640,坡道平面,76.2,5800000,"土地及建物分次登記案件。前案土地登記收件字號：;1.本案為預售,雨遮不計價2.24號停車位買賣立約日為105.9.203.二停車位未拆分單價",RPQPMLPLKIOFFEA28CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,18.29,住,,,1050903,土地2建物1車位1,十五層,22,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730,206.46,3,2,2,有,無,54200000,304110,坡道平面,38.1,3000000,"土地及建物分次登記案件。前案土地登記收件字號：;1.本案為預售,雨遮不計價",RPRPMLPLKIOFFEA38CA
大安區,房地(土地+建物)+車位,臺北市大安區敦南街61~90號,61.4,住,,,1080925,土地1建物1車位3,十八層,27,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1051005,529.31,4,2,4,有,有,201330000,380363,坡道平面,88.8,0,,RPVNMLQLKIOFFFA78CA
大安區,房地(土地+建物)+車位,臺北市大安區敦南街61~90號,61.4,住,,,1080925,土地1建物1車位3,十八層,27,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1051005,529.31,4,2,4,有,有,201340000,380382,坡道平面,88.8,0,,RPWNMLQLKIOFFFA88CA
內湖區,房地(土地+建物)+車位,臺北市內湖區星雲街168巷31~60號,11.79,住,,,1081007,土地1建物1車位1,六層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860124,82.09,2,1,1,有,有,11000000,133999,坡道平面,0.0,2000000,含增建或未登記建物。,RPXTMLNKKIOFFCA98DA
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路五段450巷21弄1~30號,46.57,住,,,1081105,土地1建物1車位2,八層，九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880731,248.70999999999998,4,2,2,有,有,30000000,120622,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTRMLSJJHPFFCA68DA
