鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
南區,房地(土地+建物)+車位,臺中市南區工學一街197巷1~30號,18.08,住,,,1081114,土地1建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870930,131.85,3,2,2,有,有,6230000,47251,坡道平面,25.05,0,,RPUPMLOJJHPFFAB97CA
北區,房地(土地+建物)+車位,臺中市北區陝西八街1~30號,13.62,住,,,1081125,土地1建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960129,158.78,3,2,2,有,有,9500000,59831,坡道平面,26.54,0,,RPPOMLTKKIOFFBB18CA
北屯區,房地(土地+建物)+車位,臺中市北屯區柳陽西街93巷1~30號,13.34,住,,,1081108,土地1建物1車位1,七層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840814,124.75,3,2,2,有,有,6120000,49062,坡道平面,0.0,0,,RPXQMLPLKIOFFBB88CA
北區,房地(土地+建物),臺中市北區陝西路91~120號,7.52,住,,,1081125,土地1建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0781102,81.25,1,1,1,有,有,4000000,49231,,0.0,0,受債權債務影響或債務抵償之交易。;,RPQNMLPKJHPFFBB67CA
南屯區,房地(土地+建物)+車位,臺中市南屯區黎明路二段121~150號,10.27,住,,,1081104,土地1建物1車位1,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840220,84.67,3,2,2,有,有,5600000,66139,坡道機械,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOQMLTKKIOFFCB38CA
西屯區,房地(土地+建物),臺中市西屯區福中七街31~60號,10.62,住,,,1081025,土地1建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831115,81.34,3,2,2,有,有,4690000,57659,,0.0,0,,RPVOMLTKKIOFFCB88CA
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北五路1~30號,62.62,其他,,,1081116,土地1建物1車位3,二十一層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0940929,527.91,4,3,5,有,有,54300000,102858,一樓平面,55.03,0,,RPXNMLKLKIOFFCB18CA
西屯區,房地(土地+建物),臺中市西屯區國安一路121~150號,6.56,住,,,1081126,土地1建物1車位0,二十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991119,65.09,2,2,1,有,有,5800000,89107,,0.0,0,含增建或未登記建物。,RPPNMLMLKIOFFCB57CA
南屯區,房地(土地+建物)+車位,臺中市南屯區永春東路331~360號,27.02,商,,,1081111,土地1建物1車位2,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970926,295.28,4,2,3,有,有,21800000,73828,坡道機械,21.62,0,,RPSQMLPLKIOFFCB48CA
南屯區,房地(土地+建物)+車位,臺中市南屯區文心南七路121~150號,24.47,商,,,1081123,土地1建物1車位2,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980710,269.65999999999997,4,2,2,有,有,19500000,72313,坡道平面,56.24,0,,RPWOMLKMKIOFFCB28CA
西屯區,房地(土地+建物),臺中市西屯區福瑞街121~150號,22.55,住,,,1081109,土地1建物1車位0,十三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840107,160.63,4,2,2,有,有,6760000,42084,,0.0,0,,RPRNMLMKJHPFFCB57CA
西屯區,房地(土地+建物),臺中市西屯區國安一路121~150號,9.84,住,,,1081111,土地1建物1車位0,十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991119,98.17999999999999,2,2,1,有,無,7640000,77816,,0.0,0,,RPTRMLOKJHPFFCB38CA
豐原區,房地(土地+建物),臺中市豐原區中正路695巷1~30號,10.04,住,,,1081112,土地1建物1車位0,二層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820208,97.72,3,2,2,有,有,3900000,39910,,0.0,0,,RPVNMLOLKIOFFDB48CA
潭子區,房地(土地+建物),臺中市潭子區中山路一段121~150號,17.99,住,,,1081105,土地1建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821111,141.76,3,2,2,有,無,7800000,55023,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPOMLNJJHPFFHB97CA
西屯區,房地(土地+建物)+車位,臺中市西屯區工業區一路91~120號,16.02,住,,,1081113,土地1建物2車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830614,173.74,3,2,2,有,有,7800000,44895,坡道平面,0.0,0,,RPPPMLSKKIOFFCB38DA
潭子區,房地(土地+建物)+車位,臺中市潭子區中山路一段121~150號,11.16,住,,,1081121,土地1建物2車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821111,109.75,2,1,1,有,有,4550000,41454,坡道機械,0.0,0,,RPTOMLTKKIOFFHB56CA
大雅區,房地(土地+建物)+車位,臺中市大雅區民權街39巷1~30號,16.76,住,,,1081119,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821231,116.53,3,2,2,有,有,3300000,28319,坡道機械,6.05,0,親友、員工或其他特殊關係間之交易。;,RPXNMLKLKIOFFHB68CA
大甲區,房地(土地+建物),臺中市大甲區育英路271~300號,11.37,住,,,1081113,土地1建物1車位0,十六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840522,112.43,3,1,2,有,有,3000000,26683,,0.0,0,,RPQNMLPLKIOFFEB18CA
南屯區,房地(土地+建物),臺中市南屯區保安三街91~120號,8.19,住,,,1081108,土地1建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840401,85.01,2,2,1,有,有,3088000,36325,,0.0,0,向政府機關承購之案件。;,RPPNMLTJJHPFFCB97CA
西屯區,房地(土地+建物),臺中市西屯區臺灣大道二段871~900號,5.09,住,,,1081204,土地1建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951124,57.11,1,1,1,有,無,4650000,81422,,0.0,0,,RPROMLMJJHPFFCB57CA
西屯區,房地(土地+建物)+車位,臺中市西屯區文心路三段1~30號,9.37,商,,,1081111,土地1建物1車位1,十一層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,116.5,3,2,1,有,有,10000000,85837,坡道機械,18.99,0,,RPWQMLQLKIOFFCB98CA
西屯區,房地(土地+建物)+車位,臺中市西屯區大容西街121~150號,14.66,住,,,1081029,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821214,137.13,3,2,2,有,有,8700000,63443,坡道機械,0.0,650000,,RPQPMLLLKIOFFCB77CA
西屯區,房地(土地+建物)+車位,臺中市西屯區工業區一路58巷10弄31~60號,19.11,住,,,1081121,土地1建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810730,129.17,3,2,2,有,有,6350000,49160,坡道平面,0.0,0,,RPROMLNLKIOFFCB97CA
西屯區,房地(土地+建物),臺中市西屯區青海路二段301~330號,11.89,住,,,1081203,土地1建物1車位0,二層,14,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0940126,117.88000000000001,3,2,2,有,有,8100000,68714,,0.0,0,,RPURMLOLKIOFFCB68CA
西屯區,房地(土地+建物)+車位,臺中市西屯區惠中路二段31~60號,30.39,住,,,1081111,土地1建物1車位4,二十四層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980619,461.22,4,2,2,有,有,47000000,101904,坡道平面,96.52,0,,RPOQMLSKKIOFFCB28CA
北屯區,房地(土地+建物)+車位,臺中市北屯區中清路二段781~810號,10.35,住,,,1081118,土地3建物1車位1,六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820924,136.64999999999998,3,2,2,有,有,7200000,52689,坡道機械,0.0,0,,RPPRMLRLKIOFFBB38CA
北屯區,房地(土地+建物)+車位,臺中市北屯區山西路三段181~210號,19.83,住,,,1081109,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990531,178.72,3,2,2,有,有,13360000,78762,坡道平面,28.14,1500000,含增建或未登記建物。,RPTSMLKLKIOFFBB18CA
北區,房地(土地+建物)+車位,臺中市北區進化北路151~180號,41.32,住,,,1081007,土地1建物4車位2,一層，二層，三層，四層，五層，騎樓,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840516,360.79,6,3,5,有,有,17500000,48505,坡道機械,0.0,0,,RPPPMLNLKIOFFBB77CA
南區,房地(土地+建物)+車位,臺中市南區學府路135巷1~30號,13.66,住,,,1081027,土地2建物1車位1,十三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851211,144.06,3,2,2,有,有,7180000,49844,坡道機械,0.0,0,,RPOQMLTJJHPFFAB97CA
南區,房地(土地+建物)+車位,臺中市南區工學二街115巷1~30號,18.29,住,,,1081113,土地1建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870930,133.76,2,2,2,有,有,5700000,42614,坡道平面,25.05,0,,RPTOMLKKJHPFFAB47CA
西區,房地(土地+建物),臺中市西區三民路一段50巷1~30號,2.46,住,,,1081209,土地2建物1車位0,六層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840113,32.03,1,1,1,有,有,1700000,53075,,0.0,0,,RPUOMLQLKIOFFAB38CA
西區,房地(土地+建物),臺中市西區英才路589巷1~30號,21.68,住,,,1081209,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780920,137.15,3,2,2,有,有,6500000,47393,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUOMLPLKIOFFAB28CA
西區,房地(土地+建物)+車位,臺中市西區臺灣大道二段482巷31~60號,19.62,住,,,1081125,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830824,200.15,3,2,2,有,有,11800000,58956,坡道平面,0.0,0,,RPRPMLNLKIOFFAB87CA
北屯區,房地(土地+建物)+車位,臺中市北屯區四平路238巷31~60號,51.3,住,,,1081116,土地1建物1車位2,十層，十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800209,324.76,5,3,2,有,有,11500000,35412,坡道平面,0.0,2400000,含增建或未登記建物。,RPTQMLNLKIOFFBB28CA
北區,房地(土地+建物)+車位,臺中市北區文心路四段181~210號,9.16,住,,,1081104,土地1建物1車位1,十二層,21,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0841208,133.2,3,2,2,有,無,7780000,58408,坡道機械,0.0,0,,RPXOMLNLKIOFFBB48CA
北屯區,房地(土地+建物)+車位,臺中市北屯區東山路一段367之18巷1~30號,29.1,住,,,1081118,土地1建物1車位1,十三層，十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840214,245.29,4,3,3,有,有,8800000,35876,坡道平面,0.0,0,,RPRNMLPLKIOFFBB97CA
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹路二段361~390號,17.9,住,,,1081121,土地1建物2車位1,十六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831210,156.17000000000002,3,2,2,有,有,6680000,42774,坡道平面,0.0,0,,RPPSMLNJJHPFFBB77CA
北屯區,房地(土地+建物),臺中市北屯區崇德路二段301~330號,9.13,商,,,1081113,土地2建物2車位0,十九層，二十層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861001,133.07999999999998,2,2,2,有,有,6210000,46660,,0.0,0,,RPPTMLNJJHPFFBB87CA
北區,房地(土地+建物)+車位,臺中市北區錦平街1~30號,26.45,住,,,1080825,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840322,184.35,3,2,2,有,有,9000000,48820,坡道平面,0.0,1200000,,RPPQMLLMKIOFFBB77CA
北屯區,房地(土地+建物)+車位,臺中市北屯區軍和街1~30號,30.99,住,,,1081107,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0801226,208.70999999999998,4,2,2,有,有,8500000,40728,坡道平面,0.0,0,,RPSNMLKMKIOFFBB67CA
北屯區,房地(土地+建物),臺中市北屯區北屯路439之17巷2弄1~30號,11.25,住,,,1081026,土地1建物1車位0,十層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850812,106.2,3,2,2,有,有,4300000,40490,,0.0,0,,RPPWMLOKJHPFFBB38CA
西屯區,房地(土地+建物),臺中市西屯區青海路二段361~390號,12.19,住,,,1081103,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830517,97.33,3,2,1,有,有,6150000,63187,,0.0,0,含增建或未登記建物。;,RPVPMLTKKIOFFCB98CA
西屯區,房地(土地+建物),臺中市西屯區東大路一段391~420號,7.82,住,,,1081130,土地1建物1車位0,十二層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840121,85.31,2,2,1,有,有,4500000,52749,,0.0,0,,RPOPMLPLKIOFFCB97CA
西屯區,房地(土地+建物)+車位,臺中市西屯區西屯路三段151~180號,11.88,住,,,1081113,土地1建物1車位1,十七層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031119,116.39,3,2,1,有,有,8400000,80812,坡道機械,19.87,600000,含增建或未登記建物。,RPOPMLOLKIOFFCB87CA
南屯區,房地(土地+建物)+車位,臺中市南屯區河南路四段601~630號,16.55,住,,,1081114,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0930219,163.02,3,2,2,有,有,15300000,93854,坡道平面,19.48,0,,RPUOMLOLKIOFFCB38CA
南屯區,房地(土地+建物)+車位,臺中市南屯區大業路571~600號,15.43,住,,,1081031,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940811,156.5,3,2,2,有,有,13200000,89568,坡道平面,23.64,1300000,含增建或未登記建物。,RPVOMLOLKIOFFCB48CA
南屯區,房地(土地+建物)+車位,臺中市南屯區文心南五路一段181~210號,32.62,住,,,1081124,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980123,241.99,4,2,3,有,有,17100000,70664,坡道平面,25.76,0,,RPUOMLNLKIOFFCB28CA
西屯區,房地(土地+建物)+車位,臺中市西屯區逢大路61~90號,39.18,住,,,1081108,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940704,187.0,3,2,2,有,有,9600000,51337,坡道平面,0.0,0,,RPTOMLKLKIOFFCB87CA
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路121~150號,6.56,住,,,1081123,土地1建物1車位1,十五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991119,87.1,2,2,1,有,有,7300000,83812,坡道平面,22.28,0,,RPWOMLKLKIOFFCB18CA
西屯區,房地(土地+建物),臺中市西屯區國安一路31~60號,12.87,住,,,1081130,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960108,91.43,2,2,1,有,有,5600000,61249,,0.0,0,含增建或未登記建物。;,RPOPMLKLKIOFFCB47CA
南屯區,房地(土地+建物)+車位,臺中市南屯區五權西路二段781~810號,26.47,住,,,1081114,土地3建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980825,188.03,3,2,2,有,有,13600000,72329,坡道平面,30.89,0,,RPWNMLNLKIOFFCB38CA
西屯區,房地(土地+建物),臺中市西屯區東大路一段391~420號,9.13,住,,,1081115,土地1建物1車位0,三層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840121,85.31,2,1,1,有,有,3900000,45716,,0.0,0,含增建或未登記建物。;,RPOOMLNLKIOFFCB67CA
西屯區,房地(土地+建物)+車位,臺中市西屯區華美西街二段361~390號,14.45,住,,,1081121,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821004,146.54,3,2,2,有,有,8900000,60734,坡道機械,0.0,700000,含增建或未登記建物。,RPRPMLLLKIOFFCB87CA
南屯區,房地(土地+建物)+車位,臺中市南屯區黎明路二段31~60號,14.06,住,,,1081114,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831202,135.92000000000002,3,2,2,有,有,7680000,56504,坡道機械,0.0,0,,RPQNMLMLKIOFFCB67CA
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路91~120號,13.22,住,,,1081129,土地1建物1車位1,二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971127,138.72,3,2,2,有,有,8810000,64183,坡道機械,13.92,800000,含增建或未登記建物。,RPPNMLTLKIOFFCB28CA
西屯區,房地(土地+建物)+車位,臺中市西屯區至善路31~60號,7.72,其他,,,1081107,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870603,114.75999999999999,3,2,2,有,有,6660000,58034,坡道平面,23.26,0,,RPRNMLMJJHPFFCB47CA
南屯區,房地(土地+建物)+車位,臺中市南屯區公益路二段481~510號,9.08,住,,,1081027,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0940117,112.47999999999999,1,2,1,有,有,8300000,73791,坡道平面,26.42,0,,RPURMLMJJHPFFCB18CA
西屯區,房地(土地+建物),臺中市西屯區臺灣大道三段61~90號,7.05,住,,,1081109,土地1建物1車位0,八層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950816,111.89,3,2,2,有,有,8450000,75521,,0.0,0,含增建或未登記建物。;,RPPQMLLMKIOFFCB87CA
西屯區,房地(土地+建物)+車位,臺中市西屯區福科一街61~90號,27.16,住,,,1081109,土地1建物1車位2,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010410,260.69,3,2,2,有,有,18060000,69278,坡道平面,50.65,0,,RPSQMLLMKIOFFCB18CA
南屯區,房地(土地+建物)+車位,臺中市南屯區忠勇路31~60號,10.96,住,,,1081204,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010926,123.87,2,2,1,有,有,7800000,62969,坡道平面,22.67,0,,RPWQMLPKJHPFFCB68CA
清水區,房地(土地+建物)+車位,臺中市清水區建國路91~120號,50.5,住,,,1081120,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940927,178.39,3,2,2,有,有,4400000,24665,坡道平面,0.0,0,,RPPQMLQLKIOFFFB58CA
潭子區,房地(土地+建物)+車位,臺中市潭子區勝利六街1~30號,16.02,住,,,1081124,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840828,125.38999999999999,3,2,2,有,有,6000000,47851,坡道機械,0.0,0,,RPVOMLSJJHPFFHB09CA
潭子區,房地(土地+建物)+車位,臺中市潭子區榮興街1~30號,30.45,住,,,1081103,土地1建物1車位1,二層，三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840520,191.24,3,2,2,有,無,7400000,38695,坡道平面,0.0,0,,RPVNMLNJJHPFFHB48CA
西屯區,房地(土地+建物),臺中市西屯區工業區一路58巷33弄31~60號,7.2,住,,,1081114,土地1建物1車位0,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820810,59.36,1,1,1,有,有,3260000,54919,,0.0,0,,RPQNMLLJJHPFFCB37DA
西屯區,房地(土地+建物),臺中市西屯區永福路31~60號,13.38,住,,,1081124,土地2建物1車位0,十層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830106,110.76,3,2,2,有,有,7080000,63922,,0.0,0,,RPRNMLLJJHPFFCB47DA
西屯區,房地(土地+建物)+車位,臺中市西屯區寧夏路211~240號,20.94,住,,,1081123,土地1建物1車位1,十一層，十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841213,202.4,4,2,2,有,有,10000000,49407,坡道平面,0.0,0,,RPSOMLNLKIOFFCB08CA
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩十四街91~120號,18.39,住,,,1081114,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960920,194.67000000000002,3,2,2,有,有,15800000,81163,坡道平面,12.91,0,,RPSPMLNLKIOFFCB18CA
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北一路241~270號,10.65,其他,,,1081129,土地1建物1車位1,十五層,28,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951113,144.84,2,2,2,有,有,11800000,81469,坡道平面,34.86,0,,RPQNMLPLKIOFFCB97CA
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩十街241~270號,12.34,住,,,1081116,土地1建物1車位1,九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830721,167.51,4,2,2,有,無,11760000,70205,坡道平面,0.0,0,,RPWNMLPLKIOFFCB58CA
北屯區,房地(土地+建物)+車位,臺中市北屯區建和路一段421~450號,17.15,住,,,1081118,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030923,119.02000000000001,2,2,1,有,有,6880000,59258,坡道機械,14.73,700000,,RPPUMLOKJHPFFBB18CA
北區,房地(土地+建物),臺中市北區太平路91~120號,16.64,住,,,1081115,土地2建物1車位0,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820831,142.66,4,2,2,有,有,4520000,31684,,0.0,0,,RPRWMLOKJHPFFBB58CA
北區,房地(土地+建物)+車位,臺中市北區中清路一段661~690號,12.87,住,,,1081030,土地1建物1車位1,十一層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880616,149.66,3,2,2,有,有,7880000,52653,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;權利人共2人,RPSVMLQKJHPFFBB78CA
北區,房地(土地+建物)+車位,臺中市北區綏遠路一段1~30號,22.09,商,,,1081201,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870928,220.41,4,2,2,有,有,13100000,59435,坡道平面,0.0,0,,RPRUMLNKJHPFFBB28CA
北區,房地(土地+建物)+車位,臺中市北區忠明路421~450號,32.68,住,,,1081203,土地2建物1車位1,十一層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030401,261.53,3,2,2,有,有,17700000,67679,坡道平面,27.79,0,,RPRSMLQJJHPFFBB28CA
北區,房地(土地+建物)+車位,臺中市北區綏遠路一段1~30號,10.38,住,,,1081122,土地2建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880713,95.59,2,2,1,有,有,6120000,64023,坡道平面,0.0,0,,RPSTMLMJJHPFFBB08CA
北屯區,房地(土地+建物),臺中市北屯區崇德路二段271~300號,7.37,住,,,1081124,土地1建物1車位0,二十四層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870417,94.57,2,2,1,有,有,5300000,56043,,0.0,0,含增建或未登記建物。,RPUQMLNLKIOFFBB38CA
東區,房地(土地+建物)+車位,臺中市東區東英十五街260巷1~30號,41.55,住,,,1081120,土地2建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810508,232.38,4,2,2,有,有,8150000,35072,坡道平面,0.0,0,,RPXOMLMJJHPFFAB97CA
西區,房地(土地+建物)+車位,臺中市西區三民路一段31~60號,8.02,住,,,1081111,土地2建物1車位1,十二層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840113,97.41,3,2,1,有,有,4150000,42603,坡道機械,0.0,0,,RPSNMLSLKIOFFAB28CA
西區,房地(土地+建物)+車位,臺中市西區三民路一段31~60號,8.61,住,,,1081112,土地2建物1車位1,八層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840113,107.75,3,2,2,有,有,4600000,42695,坡道機械,0.0,0,,RPXNMLOLKIOFFAB38CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍勝路1~30號,18.34,商,,,1081120,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950414,195.98000000000002,3,2,2,有,有,13500000,68885,坡道機械,14.05,0,,RPQOMLLKKIOFFAE67CA
鼓山區,房地(土地+建物),高雄市鼓山區龍勝路1~30號,8.96,商,,,1081105,土地1建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950414,97.42999999999999,2,2,1,有,有,6510000,66817,,0.0,0,,RPTNMLKLKIOFFAE87CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍文街1~30號,10.66,商,,,1081109,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930913,96.38,3,1,1,有,有,7650000,75997,坡道平面,14.14,1400000,,RPTOMLKLKIOFFAE97CA
前金區,房地(土地+建物)+車位,高雄市前金區河東路151~180號,6.87,商,,,1081104,土地1建物2車位1,十七層,35,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0850215,188.37,3,2,2,有,有,10000000,53084,坡道機械,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTNMLPLKIOFFAE38CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區裕誠路1801~1830號,18.71,商,,,1081029,土地1建物1車位1,十九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030613,283.73,4,2,3,有,有,23200000,81768,坡道平面,17.98,0,,RPSOMLLMKIOFFAE08CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新光路62巷1~30號,5.24,商,,,1081201,土地1建物1車位1,九層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,135.01,2,2,2,有,有,6300000,46663,坡道平面,0.0,0,,RPOOMLNKKIOFFBE77CA
苓雅區,房地(土地+建物),高雄市苓雅區金門街91~120號,5.62,商,,,1081111,土地1建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031030,74.3,2,2,1,有,有,6400000,86137,,0.0,0,,RPSNMLOKKIOFFBE18CA
苓雅區,房地(土地+建物),高雄市苓雅區新光路62巷1~30號,5.42,商,,,1081117,土地1建物1車位0,十一層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,127.36,3,2,2,有,有,4580000,35961,,0.0,0,,RPRNMLRLKIOFFBE48CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區中華五路1411~1440號,10.77,商,,,1081026,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950314,108.96000000000001,2,2,1,有,有,7000000,64244,坡道平面,0.0,0,附家電傢俱。含裝潢。賣方已相當減價出售予買方，買方同意免除賣方物之瑕疵擔保責任。,RPSNMLQLKIOFFCE58CA
三民區,房地(土地+建物),高雄市三民區覺民路196巷1~30號,11.67,商,,,1081115,土地1建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940309,130.84,4,2,2,有,有,6000000,45858,,0.0,0,,RPQOMLMKKIOFFDE08CA
